Message stats for scenario BubbleRap_TTL10
sim_time: 259200.0000
created: 1000
started: 256
relayed: 175
aborted: 81
dropped: 1059
removed: 53
delivered: 61
delivery_prob: 0.0610
deliverycost: 0.1750
response_prob: 0.0000
overhead_ratio: 1.8689
latency_avg: 148.3934
latency_med: 57.0000
hopcount_avg: 3.3770
hopcount_med: 4
buffertime_avg: 532.2860
buffertime_med: 567.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y386(CreateFrom:n58,Dest:n40): {n58=8}
Y387(CreateFrom:n49,Dest:n95): {n49=8}
Y388(CreateFrom:n37,Dest:n12): {n37=8}
Y389(CreateFrom:n36,Dest:n92): {n36=8}
Y382(CreateFrom:n37,Dest:n86): {n37=8}
Y383(CreateFrom:n88,Dest:n18): {n88=8}
Y384(CreateFrom:n21,Dest:n63): {n21=8}
Y385(CreateFrom:n91,Dest:n30): {n91=8}
Y380(CreateFrom:n32,Dest:n9): {n16=2, n32=0}
Y381(CreateFrom:n56,Dest:n89): {n56=8}
Y185(CreateFrom:n78,Dest:n34): {n78=8}
Y184(CreateFrom:n39,Dest:n75): {n39=8}
Y187(CreateFrom:n76,Dest:n66): {n76=8}
Y186(CreateFrom:n96,Dest:n74): {n96=8}
Y181(CreateFrom:n32,Dest:n35): {n32=8}
Y180(CreateFrom:n92,Dest:n62): {n92=8}
Y183(CreateFrom:n69,Dest:n88): {n69=8}
Y182(CreateFrom:n73,Dest:n36): {n73=8}
Y189(CreateFrom:n7,Dest:n64): {n7=8}
Y188(CreateFrom:n97,Dest:n93): {n97=8}
Y379(CreateFrom:n81,Dest:n84): {n81=8}
Y377(CreateFrom:n76,Dest:n83): {n76=0, n83=0}
Y378(CreateFrom:n52,Dest:n13): {n52=8}
Y375(CreateFrom:n6,Dest:n71): {n6=8}
Y376(CreateFrom:n43,Dest:n33): {n43=8}
Y373(CreateFrom:n86,Dest:n69): {n86=8}
Y374(CreateFrom:n60,Dest:n51): {n60=8}
Y371(CreateFrom:n49,Dest:n40): {n49=8}
Y372(CreateFrom:n89,Dest:n81): {n89=8}
Y370(CreateFrom:n34,Dest:n91): {n34=8}
Y176(CreateFrom:n36,Dest:n72): {n36=8}
Y175(CreateFrom:n48,Dest:n31): {n48=8}
Y174(CreateFrom:n27,Dest:n97): {n27=8}
Y173(CreateFrom:n48,Dest:n91): {n48=8}
Y172(CreateFrom:n6,Dest:n83): {n6=8}
Y171(CreateFrom:n27,Dest:n22): {n27=8}
Y170(CreateFrom:n61,Dest:n25): {n61=8}
Y179(CreateFrom:n92,Dest:n48): {n92=8}
Y178(CreateFrom:n56,Dest:n18): {n56=8}
Y177(CreateFrom:n60,Dest:n75): {n60=8}
Y364(CreateFrom:n52,Dest:n43): {n52=8}
Y365(CreateFrom:n25,Dest:n59): {n25=8}
Y366(CreateFrom:n41,Dest:n5): {n41=8}
Y367(CreateFrom:n79,Dest:n45): {n79=8}
Y368(CreateFrom:n16,Dest:n77): {n16=8}
Y369(CreateFrom:n7,Dest:n57): {n7=8}
Y360(CreateFrom:n25,Dest:n19): {n25=8}
Y361(CreateFrom:n61,Dest:n48): {n61=8}
Y362(CreateFrom:n67,Dest:n51): {n67=8}
Y363(CreateFrom:n53,Dest:n36): {n53=8}
Y161(CreateFrom:n12,Dest:n11): {n12=8}
Y160(CreateFrom:n22,Dest:n86): {n22=8}
Y163(CreateFrom:n28,Dest:n1): {n28=8}
Y162(CreateFrom:n6,Dest:n27): {n6=8}
Y165(CreateFrom:n87,Dest:n69): {n87=8}
Y164(CreateFrom:n56,Dest:n1): {n56=8}
Y167(CreateFrom:n17,Dest:n7): {n17=8}
Y166(CreateFrom:n28,Dest:n14): {n28=8}
Y169(CreateFrom:n45,Dest:n12): {n45=8}
Y168(CreateFrom:n57,Dest:n86): {n57=8}
Y355(CreateFrom:n48,Dest:n4): {n48=8}
Y356(CreateFrom:n28,Dest:n15): {n28=0, n16=2, n15=0}
Y353(CreateFrom:n44,Dest:n79): {n44=8}
Y354(CreateFrom:n83,Dest:n17): {n83=8}
Y359(CreateFrom:n85,Dest:n21): {n85=8}
Y357(CreateFrom:n2,Dest:n16): {n2=8}
Y358(CreateFrom:n5,Dest:n70): {n5=8}
Y351(CreateFrom:n5,Dest:n12): {n76=1, n95=0, n5=1, n71=2, n12=0}
Y352(CreateFrom:n33,Dest:n60): {n33=8}
Y350(CreateFrom:n26,Dest:n83): {n26=8}
Y150(CreateFrom:n92,Dest:n43): {n92=8}
Y154(CreateFrom:n89,Dest:n76): {n89=8}
Y153(CreateFrom:n28,Dest:n5): {n28=8}
Y152(CreateFrom:n45,Dest:n32): {n45=8}
Y151(CreateFrom:n31,Dest:n55): {n31=8}
Y158(CreateFrom:n59,Dest:n84): {n59=8}
Y157(CreateFrom:n48,Dest:n88): {n84=2, n48=6, n88=0}
Y156(CreateFrom:n74,Dest:n28): {n74=8}
Y155(CreateFrom:n43,Dest:n64): {n43=8}
Y159(CreateFrom:n40,Dest:n36): {n40=8}
Y148(CreateFrom:n39,Dest:n51): {n39=8}
Y149(CreateFrom:n56,Dest:n85): {n56=8}
Y144(CreateFrom:n73,Dest:n22): {n73=8}
Y145(CreateFrom:n3,Dest:n30): {n3=8}
Y146(CreateFrom:n18,Dest:n36): {n18=8}
Y147(CreateFrom:n12,Dest:n31): {n12=8}
Y140(CreateFrom:n90,Dest:n1): {n90=8}
Y141(CreateFrom:n16,Dest:n14): {n16=8}
Y142(CreateFrom:n2,Dest:n29): {n2=8}
Y143(CreateFrom:n85,Dest:n35): {n85=8}
Y139(CreateFrom:n9,Dest:n34): {n9=8}
Y137(CreateFrom:n35,Dest:n77): {n35=8}
Y138(CreateFrom:n76,Dest:n72): {n76=8}
Y135(CreateFrom:n43,Dest:n40): {n43=8}
Y136(CreateFrom:n10,Dest:n40): {n10=8}
Y133(CreateFrom:n67,Dest:n6): {n67=8}
Y134(CreateFrom:n79,Dest:n55): {n79=8}
Y131(CreateFrom:n62,Dest:n47): {n62=8}
Y132(CreateFrom:n14,Dest:n81): {n14=8}
Y130(CreateFrom:n55,Dest:n44): {n55=8}
Y119(CreateFrom:n31,Dest:n96): {n31=8}
Y122(CreateFrom:n86,Dest:n53): {n86=8}
Y123(CreateFrom:n80,Dest:n62): {n80=8}
Y124(CreateFrom:n75,Dest:n16): {n75=8}
Y125(CreateFrom:n89,Dest:n48): {n89=8}
Y126(CreateFrom:n41,Dest:n15): {n41=8}
Y127(CreateFrom:n74,Dest:n51): {n74=8}
Y128(CreateFrom:n36,Dest:n84): {n36=8}
Y129(CreateFrom:n15,Dest:n28): {n15=8}
Y120(CreateFrom:n25,Dest:n59): {n25=8}
Y121(CreateFrom:n63,Dest:n55): {n63=8}
Y392(CreateFrom:n64,Dest:n20): {n64=8}
Y391(CreateFrom:n89,Dest:n60): {n89=8}
Y390(CreateFrom:n23,Dest:n48): {n23=8}
Y396(CreateFrom:n61,Dest:n62): {n61=8}
Y395(CreateFrom:n95,Dest:n96): {n95=8}
Y394(CreateFrom:n5,Dest:n11): {n5=8}
Y393(CreateFrom:n97,Dest:n40): {n97=8}
Y399(CreateFrom:n42,Dest:n39): {n42=8}
Y109(CreateFrom:n24,Dest:n87): {n24=8}
Y398(CreateFrom:n57,Dest:n87): {n57=8}
Y108(CreateFrom:n16,Dest:n22): {n16=8}
Y397(CreateFrom:n63,Dest:n35): {n63=8}
Y113(CreateFrom:n55,Dest:n19): {n55=8}
Y114(CreateFrom:n1,Dest:n28): {n1=8}
Y111(CreateFrom:n91,Dest:n22): {n91=8}
Y112(CreateFrom:n26,Dest:n21): {n26=8}
Y117(CreateFrom:n8,Dest:n6): {n8=8}
Y118(CreateFrom:n83,Dest:n44): {n83=8}
Y115(CreateFrom:n3,Dest:n89): {n3=8}
Y116(CreateFrom:n68,Dest:n25): {n68=8}
