Message stats for scenario BubbleRap_TTL10
sim_time: 259200.0000
created: 7518
started: 2215
relayed: 1545
aborted: 670
dropped: 7942
removed: 541
delivered: 564
delivery_prob: 0.0750
deliverycost: 0.2055
response_prob: 0.0000
overhead_ratio: 1.7394
latency_avg: 145.8014
latency_med: 85.0000
hopcount_avg: 3.2021
hopcount_med: 4
buffertime_avg: 521.6850
buffertime_med: 566.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y5236(CreateFrom:n93,Dest:n76): {n93=8}
Y5235(CreateFrom:n60,Dest:n27): {n60=8}
Y5238(CreateFrom:n94,Dest:n81): {n94=8}
Y5237(CreateFrom:n50,Dest:n53): {n70=1, n75=1, n53=0, n50=5}
Y5239(CreateFrom:n92,Dest:n94): {n92=8}
Y5230(CreateFrom:n88,Dest:n26): {n88=8}
Y5232(CreateFrom:n85,Dest:n83): {n85=8}
Y5231(CreateFrom:n89,Dest:n93): {n89=8}
Y5234(CreateFrom:n82,Dest:n38): {n82=8}
Y5233(CreateFrom:n29,Dest:n13): {n29=8}
Y5249(CreateFrom:n21,Dest:n75): {n21=8}
Y5248(CreateFrom:n55,Dest:n93): {n55=8}
Y5247(CreateFrom:n49,Dest:n67): {n49=8}
Y5246(CreateFrom:n41,Dest:n55): {n41=8}
Y5241(CreateFrom:n91,Dest:n39): {n91=8}
Y5240(CreateFrom:n30,Dest:n59): {n30=8}
Y5245(CreateFrom:n6,Dest:n31): {n6=8}
Y5244(CreateFrom:n96,Dest:n87): {n96=8}
Y5243(CreateFrom:n14,Dest:n80): {n14=8}
Y5242(CreateFrom:n95,Dest:n81): {n95=8}
Y6704(CreateFrom:n66,Dest:n64): {n66=8}
Y6705(CreateFrom:n78,Dest:n3): {n78=8}
Y6702(CreateFrom:n31,Dest:n40): {n31=8}
Y6703(CreateFrom:n95,Dest:n43): {n95=8}
Y6700(CreateFrom:n58,Dest:n9): {n58=8}
Y5258(CreateFrom:n31,Dest:n55): {n31=8}
Y6701(CreateFrom:n10,Dest:n44): {n10=8}
Y5257(CreateFrom:n61,Dest:n46): {n61=8}
Y5259(CreateFrom:n48,Dest:n52): {n48=0, n52=0}
Y5254(CreateFrom:n91,Dest:n21): {n91=8}
Y5253(CreateFrom:n54,Dest:n91): {n54=8}
Y5256(CreateFrom:n5,Dest:n69): {n5=8}
Y5255(CreateFrom:n16,Dest:n5): {n9=1, n5=0, n12=1, n16=6}
Y5250(CreateFrom:n36,Dest:n53): {n36=7, n73=1}
