Message stats for scenario BubbleRap_TTL30
sim_time: 1875143.0000
created: 54343
started: 6814
relayed: 6780
aborted: 34
dropped: 59017
removed: 1280
delivered: 775
delivery_prob: 0.0143
deliverycost: 0.1248
response_prob: 0.0000
overhead_ratio: 7.7484
latency_avg: 579.7213
latency_med: 441.0000
hopcount_avg: 3.2981
hopcount_med: 4
buffertime_avg: 1702.1787
buffertime_med: 1768.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y38500(CreateFrom:n4,Dest:n15): {n4=8}
Y47358(CreateFrom:n33,Dest:n2): {n33=8}
Y47359(CreateFrom:n1,Dest:n48): {n1=8}
Y47356(CreateFrom:n22,Dest:n27): {n22=8}
Y47357(CreateFrom:n47,Dest:n36): {n47=8}
Y38504(CreateFrom:n35,Dest:n36): {n35=8}
Y47354(CreateFrom:n20,Dest:n30): {n20=8}
Y38503(CreateFrom:n5,Dest:n27): {n5=8}
Y47355(CreateFrom:n24,Dest:n12): {n24=8}
Y38502(CreateFrom:n38,Dest:n12): {n38=4, n25=4}
Y47352(CreateFrom:n31,Dest:n39): {n31=8}
Y38501(CreateFrom:n30,Dest:n21): {n30=8}
Y47353(CreateFrom:n38,Dest:n31): {n38=8}
Y38508(CreateFrom:n20,Dest:n29): {n20=8}
Y47350(CreateFrom:n38,Dest:n22): {n38=8}
Y38507(CreateFrom:n45,Dest:n4): {n45=8}
Y47351(CreateFrom:n13,Dest:n16): {n13=8}
Y38506(CreateFrom:n37,Dest:n19): {n37=8}
Y38505(CreateFrom:n13,Dest:n9): {n13=8}
Y47349(CreateFrom:n7,Dest:n16): {n7=8}
Y47345(CreateFrom:n42,Dest:n26): {n42=8}
Y47346(CreateFrom:n1,Dest:n30): {n1=8}
Y47347(CreateFrom:n18,Dest:n32): {n18=8}
Y47348(CreateFrom:n6,Dest:n34): {n6=8}
Y47341(CreateFrom:n35,Dest:n5): {n35=8}
Y47342(CreateFrom:n16,Dest:n39): {n16=8}
Y47343(CreateFrom:n44,Dest:n13): {n44=8}
Y47344(CreateFrom:n43,Dest:n24): {n43=8}
Y47340(CreateFrom:n42,Dest:n7): {n42=8}
Y38522(CreateFrom:n26,Dest:n6): {n26=8}
Y47336(CreateFrom:n46,Dest:n19): {n46=8}
Y38521(CreateFrom:n46,Dest:n25): {n46=8}
Y47337(CreateFrom:n3,Dest:n0): {n3=8}
Y38520(CreateFrom:n37,Dest:n8): {n37=8}
Y47334(CreateFrom:n12,Dest:n40): {n12=8}
Y47335(CreateFrom:n43,Dest:n0): {n43=8}
Y47338(CreateFrom:n34,Dest:n30): {n34=8}
Y47339(CreateFrom:n2,Dest:n44): {n2=8}
Y38529(CreateFrom:n46,Dest:n39): {n46=8}
Y38528(CreateFrom:n40,Dest:n5): {n40=8}
Y38527(CreateFrom:n28,Dest:n12): {n28=8}
Y38526(CreateFrom:n13,Dest:n5): {n13=8}
Y47332(CreateFrom:n39,Dest:n14): {n39=8}
Y38525(CreateFrom:n37,Dest:n28): {n37=8}
Y47333(CreateFrom:n48,Dest:n2): {n48=8}
Y38524(CreateFrom:n26,Dest:n0): {n26=8}
Y47330(CreateFrom:n2,Dest:n0): {n2=8}
Y38523(CreateFrom:n26,Dest:n33): {n26=8}
Y47331(CreateFrom:n31,Dest:n47): {n31=8}
Y47323(CreateFrom:n35,Dest:n26): {n35=8}
Y47324(CreateFrom:n31,Dest:n34): {n31=8}
Y38511(CreateFrom:n47,Dest:n40): {n47=8}
Y47325(CreateFrom:n12,Dest:n21): {n12=8}
Y38510(CreateFrom:n24,Dest:n9): {n24=8}
Y47326(CreateFrom:n19,Dest:n46): {n19=8}
Y47327(CreateFrom:n34,Dest:n13): {n34=8}
Y47328(CreateFrom:n4,Dest:n42): {n4=8}
Y47329(CreateFrom:n23,Dest:n10): {n23=8}
Y38517(CreateFrom:n27,Dest:n0): {n27=8}
Y38516(CreateFrom:n35,Dest:n9): {n35=8}
Y38519(CreateFrom:n9,Dest:n43): {n9=8}
Y38518(CreateFrom:n3,Dest:n19): {n18=7, n3=0}
Y38513(CreateFrom:n18,Dest:n7): {n3=7, n18=1}
Y38512(CreateFrom:n17,Dest:n4): {n17=8}
Y47320(CreateFrom:n26,Dest:n23): {n26=8}
Y38515(CreateFrom:n23,Dest:n48): {n23=8}
Y47321(CreateFrom:n46,Dest:n36): {n46=8}
Y38514(CreateFrom:n7,Dest:n46): {n7=8}
Y47322(CreateFrom:n34,Dest:n13): {n34=8}
Y38509(CreateFrom:n45,Dest:n24): {n45=8}
Y47311(CreateFrom:n22,Dest:n15): {n22=8}
Y47310(CreateFrom:n28,Dest:n45): {n28=8}
Y47319(CreateFrom:n47,Dest:n17): {n47=8}
Y47318(CreateFrom:n19,Dest:n22): {n19=8}
Y47317(CreateFrom:n21,Dest:n1): {n21=8}
Y47316(CreateFrom:n16,Dest:n22): {n35=7, n16=1}
Y47315(CreateFrom:n19,Dest:n12): {n19=8}
Y47314(CreateFrom:n3,Dest:n35): {n3=8}
Y47313(CreateFrom:n20,Dest:n29): {n20=8}
Y47312(CreateFrom:n33,Dest:n48): {n33=8}
Y47309(CreateFrom:n31,Dest:n13): {n31=8}
Y47300(CreateFrom:n4,Dest:n36): {n4=8}
Y47306(CreateFrom:n45,Dest:n25): {n45=8}
Y47305(CreateFrom:n23,Dest:n42): {n23=8}
Y47308(CreateFrom:n20,Dest:n26): {n20=8}
Y47307(CreateFrom:n5,Dest:n35): {n5=8}
Y47302(CreateFrom:n28,Dest:n17): {n28=8}
Y47301(CreateFrom:n35,Dest:n29): {n35=8}
Y47304(CreateFrom:n35,Dest:n15): {n35=8}
Y47303(CreateFrom:n33,Dest:n35): {n33=8}
Y35013(CreateFrom:n29,Dest:n19): {n29=8}
Y35012(CreateFrom:n7,Dest:n29): {n7=8}
Y35011(CreateFrom:n24,Dest:n15): {n24=8}
Y35010(CreateFrom:n11,Dest:n20): {n11=8}
Y35019(CreateFrom:n21,Dest:n33): {n21=8}
Y35018(CreateFrom:n4,Dest:n20): {n4=8}
Y35017(CreateFrom:n2,Dest:n31): {n2=8}
Y35016(CreateFrom:n45,Dest:n8): {n45=8}
Y35015(CreateFrom:n39,Dest:n20): {n39=8}
Y35014(CreateFrom:n4,Dest:n5): {n4=8}
Y35000(CreateFrom:n25,Dest:n15): {n25=8}
Y35002(CreateFrom:n4,Dest:n27): {n4=8}
Y35001(CreateFrom:n37,Dest:n28): {n37=8}
Y35008(CreateFrom:n37,Dest:n0): {n37=8}
Y35007(CreateFrom:n15,Dest:n1): {n15=8}
Y35009(CreateFrom:n32,Dest:n30): {n32=8}
Y35004(CreateFrom:n46,Dest:n7): {n46=8}
